Time,Open,Close,High,Low,Volume
2017-02-21,1241000.0,1285000.0,1340000.0,1240000.0,11067.01120177
2017-02-22,1285000.0,1311000.0,1321000.0,1274000.0,6280.31304414
2017-02-23,1313000.0,1350000.0,1357000.0,1309000.0,7994.02543012
2017-02-24,1350000.0,1407000.0,1454000.0,1302000.0,19920.32419433
2017-02-25,1407000.0,1375000.0,1414000.0,1360000.0,5153.78899725
2017-02-26,1376000.0,1373000.0,1378000.0,1301000.0,7021.8292772
2017-02-27,1376000.0,1391000.0,1401000.0,1370000.0,6208.03684022
2017-02-28,1390000.0,1395000.0,1399000.0,1380000.0,5317.62628738
2017-03-01,1395000.0,1421000.0,1421000.0,1393000.0,4733.86604575
2017-03-02,1421000.0,1458000.0,1463000.0,1417000.0,7804.84413496
2017-03-03,1458000.0,1540000.0,1555000.0,1458000.0,13550.27673135
2017-03-04,1539000.0,1531000.0,1546000.0,1514000.0,4627.02738911
2017-03-05,1531000.0,1520000.0,1534000.0,1481000.0,6961.11367828
2017-03-06,1518000.0,1516000.0,1531000.0,1510000.0,4950.68697593
2017-03-07,1516000.0,1468000.0,1525000.0,1421000.0,10230.18761135
2017-03-08,1468000.0,1421000.0,1489000.0,1379000.0,11761.96395804
2017-03-09,1421000.0,1407000.0,1430000.0,1367000.0,8754.50853077
2017-03-10,1407000.0,1474000.0,1525000.0,1402000.0,10924.82598507
2017-03-11,1474000.0,1428000.0,1489000.0,1325000.0,16043.92665469
2017-03-12,1427000.0,1448000.0,1455000.0,1415000.0,4216.12584018
2017-03-13,1447000.0,1475000.0,1499000.0,1445000.0,9068.77607554
2017-03-14,1476000.0,1499000.0,1500000.0,1468000.0,7037.81336762
2017-03-15,1499000.0,1499000.0,1521000.0,1493000.0,6503.11842074
2017-03-16,1499000.0,1501000.0,1518000.0,1491000.0,10849.75476933
2017-03-17,1501000.0,1488000.0,1512000.0,1451000.0,12076.97862648
2017-03-18,1489000.0,1397000.0,1508000.0,1387000.0,10755.74008786
2017-03-19,1395000.0,1259000.0,1402000.0,1241000.0,12181.62886989
2017-03-20,1259000.0,1306000.0,1374000.0,1256000.0,9930.68483133
2017-03-21,1304000.0,1331000.0,1363000.0,1296000.0,9998.63359219
2017-03-22,1331000.0,1268000.0,1365000.0,1257000.0,12325.0394785
2017-03-23,1269000.0,1251000.0,1292000.0,1235000.0,10887.27201832
2017-03-24,1252000.0,1167000.0,1263000.0,1125000.0,12328.09238366
2017-03-25,1167000.0,1116000.0,1175000.0,1037000.0,16603.34432006
2017-03-26,1119000.0,1189000.0,1201000.0,1083000.0,13326.16219929
2017-03-27,1189000.0,1207000.0,1245000.0,1151000.0,16227.60225072
2017-03-28,1207000.0,1250000.0,1299000.0,1199000.0,14645.64608754
2017-03-29,1251000.0,1219000.0,1259000.0,1180000.0,15338.25978645
2017-03-30,1219000.0,1204000.0,1227000.0,1193000.0,9432.04831551
2017-03-31,1204000.0,1236000.0,1242000.0,1198000.0,13757.29568644
2017-04-01,1236000.0,1275000.0,1298000.0,1236000.0,14799.07735453
2017-04-02,1275000.0,1272000.0,1283000.0,1258000.0,6857.60560059
2017-04-03,1272000.0,1327000.0,1350000.0,1271000.0,15475.09565184
2017-04-04,1328000.0,1310000.0,1380000.0,1306000.0,14474.22556018
2017-04-05,1310000.0,1317000.0,1362000.0,1305000.0,10460.97183829
2017-04-06,1317000.0,1350000.0,1360000.0,1308000.0,9962.150207
2017-04-07,1348000.0,1390000.0,1395000.0,1344000.0,11024.3630437
2017-04-08,1390000.0,1381000.0,1414000.0,1374000.0,7017.52309562
2017-04-09,1381000.0,1385000.0,1386000.0,1362000.0,4271.36577506
2017-04-10,1385000.0,1407000.0,1410000.0,1384000.0,5624.87262055
2017-04-11,1408000.0,1411000.0,1412000.0,1395000.0,5912.56946327
2017-04-12,1411000.0,1417000.0,1426000.0,1409000.0,6089.62794091
2017-04-13,1417000.0,1357000.0,1419000.0,1353000.0,10146.38162974
2017-04-14,1357000.0,1391000.0,1398000.0,1342000.0,7477.62162752
2017-04-15,1393000.0,1392000.0,1397000.0,1379000.0,3474.02380739
2017-04-16,1393000.0,1376000.0,1396000.0,1371000.0,4268.97967696
2017-04-17,1376000.0,1389000.0,1394000.0,1376000.0,5373.35808222
2017-04-18,1389000.0,1403000.0,1418000.0,1388000.0,8718.21303825
2017-04-19,1403000.0,1406000.0,1415000.0,1399000.0,5539.12165354
2017-04-20,1406000.0,1436000.0,1437000.0,1404000.0,7993.39017113
2017-04-21,1437000.0,1452000.0,1467000.0,1436000.0,9420.87222364
2017-04-22,1452000.0,1442000.0,1459000.0,1425000.0,5208.95913309
2017-04-23,1441000.0,1450000.0,1458000.0,1441000.0,3478.75396592
